dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,msm,elastic,0.44420601150189637,0.45795876913424716,1.0426908999999966,42,4,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.15228067140323906,0.25943264671794486,0.00168049999999198,42,5,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6145311591535848,0.6295358930214819,5.910303700000014,42,5,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6132894259481484,0.6706586522192037,1.0082402999999545,42,5,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.1693721151871857,0.2602661301654108,0.0014372999999636704,42,6,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6214967555568015,0.6307380523168321,6.112693600000057,42,6,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.3785264648392409,0.47184174485062075,0.9596956000000318,42,6,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.275878671780156,0.3164642695881908,0.0017844000000195592,42,7,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.1459546676911256,0.1932892398611502,6.173833299999956,42,7,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5535558019961689,0.564144216475133,1.0825695999999994,42,7,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.25867670030398066,0.290447020210991,0.001164500000015778,42,8,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6885343622750029,0.6880220522622648,6.093838499999947,42,8,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6132894259481484,0.6706586522192037,1.0979802000000518,42,8,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
